# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
234 -146.599  -12.299    4.69   2   1    -0.37    -0.93    0.020    83.11
235 -145.019  -12.812    4.71   2   1    -0.25    -0.97    0.020    83.11
236 -143.387  -13.124    4.73   2   1    -0.13    -0.99    0.020    83.11
237 -141.729  -13.228    4.75   2   1    -0.00    -1.00    0.020    83.11
238 -140.072  -13.124    4.77   2   1     0.13    -0.99    0.020    83.11
239 -138.440  -12.812    4.79   2   1     0.25    -0.97    0.020    83.11
240 -136.860  -12.299    4.81   2   1     0.37    -0.93    0.020    83.11
241 -135.357  -11.592    4.83   2   1     0.48    -0.88    0.020    83.11
242 -133.954  -10.702    4.85   2   1     0.59    -0.81    0.020    83.11
243 -132.674   -9.643    4.87   2   1     0.68    -0.73    0.020    83.11
244 -131.537   -8.432    4.89   2   1     0.77    -0.64    0.020    83.11
245 -130.561   -7.088    4.91   2   1     0.84    -0.54    0.020    83.11
246 -129.760   -5.632    4.93   2   1     0.90    -0.43    0.020    83.11
247 -129.149   -4.088    4.95   2   1     0.95    -0.31    0.020    83.11
248 -128.736   -2.479    4.97   2   1     0.98    -0.19    0.020    83.11
249 -128.527   -0.831    4.99   2   1     1.00    -0.06    0.020    83.11
250  -70.623   49.418    5.01   2   1     1.00     0.06    0.020    83.11
251  -70.831   51.066    5.03   2   1     0.98     0.19    0.020    83.11
252  -71.244   52.675    5.05   2   1     0.95     0.31    0.020    83.11
253  -71.856   54.220    5.07   2   1     0.90     0.43    0.020    83.11
254  -72.656   55.676    5.09   2   1     0.84     0.54    0.020    83.11
255  -73.632   57.020    5.11   2   1     0.77     0.64    0.020    83.11
256  -74.770   58.231    5.13   2   1     0.68     0.73    0.020    83.11
257  -76.050   59.289    5.15   2   1     0.59     0.81    0.020    83.11
258  -77.452   60.180    5.17   2   1     0.48     0.88    0.020    83.11
259  -78.955   60.887    5.19   2   1     0.37     0.93    0.020    83.11
260  -80.535   61.400    5.21   2   1     0.25     0.97    0.020    83.11
261  -82.167   61.711    5.23   2   1     0.13     0.99    0.020    83.11
262  -83.825   61.816    5.25   2   1     0.00     1.00    0.020    83.11
263  -85.483   61.711    5.27   2   1    -0.13     0.99    0.020    83.11
264  -87.115   61.400    5.29   2   1    -0.25     0.97    0.020    83.11
