# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
274   -9.004   -2.863    0.55   2   1    -0.95    -0.30    0.002    59.37
275   -8.968   -2.976    0.55   2   1    -0.95    -0.31    0.002    59.37
276   -8.930   -3.089    0.55   2   1    -0.95    -0.33    0.002    59.37
277   -8.890   -3.201    0.56   2   1    -0.94    -0.34    0.002    59.37
278   -8.849   -3.312    0.56   2   1    -0.94    -0.35    0.002    59.37
279   -8.807   -3.423    0.56   2   1    -0.93    -0.36    0.002    59.37
280   -8.763   -3.533    0.56   2   1    -0.93    -0.37    0.002    59.37
281   -8.718   -3.643    0.56   2   1    -0.92    -0.39    0.002    59.37
282   -8.672   -3.753    0.56   2   1    -0.92    -0.40    0.002    59.37
283   -8.624   -3.861    0.57   2   1    -0.91    -0.41    0.002    59.37
284   -8.574   -3.969    0.57   2   1    -0.91    -0.42    0.002    59.37
285   -8.524   -4.077    0.57   2   1    -0.90    -0.43    0.002    59.37
286   -8.472   -4.183    0.57   2   1    -0.90    -0.44    0.002    59.37
287   -8.419   -4.290    0.57   2   1    -0.89    -0.45    0.002    59.37
288   -8.364   -4.395    0.58   2   1    -0.89    -0.47    0.002    59.37
289   -8.308   -4.500    0.58   2   1    -0.88    -0.48    0.002    59.37
290   -8.251   -4.604    0.58   2   1    -0.87    -0.49    0.002    59.37
291   -8.193   -4.707    0.58   2   1    -0.87    -0.50    0.002    59.37
292   -8.133   -4.810    0.58   2   1    -0.86    -0.51    0.002    59.37
293   -8.072   -4.912    0.59   2   1    -0.85    -0.52    0.002    59.37
294   -8.009   -5.013    0.59   2   1    -0.85    -0.53    0.002    59.37
295   -7.946   -5.113    0.59   2   1    -0.84    -0.54    0.002    59.37
296   -7.881   -5.212    0.59   2   1    -0.83    -0.55    0.002    59.37
297   -7.815   -5.311    0.59   2   1    -0.83    -0.56    0.002    59.37
298   -7.747   -5.409    0.60   2   1    -0.82    -0.57    0.002    59.37
299   -7.679   -5.506    0.60   2   1    -0.81    -0.58    0.002    59.37
300   -7.609   -5.602    0.60   2   1    -0.81    -0.59    0.002    59.37
301   -7.538   -5.697    0.60   2   1    -0.80    -0.60    0.002    59.37
302   -7.466   -5.791    0.60   2   1    -0.79    -0.61    0.002    59.37
303   -7.393   -5.884    0.61   2   1    -0.78    -0.62    0.002    59.37
304   -7.318   -5.977    0.61   2   1    -0.77    -0.63    0.002    59.37
305   -7.242   -6.068    0.61   2   1    -0.77    -0.64    0.002    59.37
306   -7.165   -6.159    0.61   2   1    -0.76    -0.65    0.002    59.37
307   -7.088   -6.248    0.61   2   1    -0.75    -0.66    0.002    59.37
308   -7.008   -6.337    0.62   2   1    -0.74    -0.67    0.002    59.37
309   -6.928   -6.425    0.62   2   1    -0.73    -0.68    0.002    59.37
310   -6.847   -6.511    0.62   2   1    -0.72    -0.69    0.002    59.37
311   -6.765   -6.597    0.62   2   1    -0.72    -0.70    0.002    59.37
312   -6.681   -6.681    0.62   2   1    -0.71    -0.71    0.002    59.37
313   -6.597   -6.765    0.63   2   1    -0.70    -0.72    0.002    59.37
314   -6.511   -6.847    0.63   2   1    -0.69    -0.72    0.002    59.37
315   -6.425   -6.928    0.63   2   1    -0.68    -0.73    0.002    59.37
316   -6.337   -7.008    0.63   2   1    -0.67    -0.74    0.002    59.37
317   -6.248   -7.088    0.64   2   1    -0.66    -0.75    0.002    59.37
318   -6.159   -7.165    0.64   2   1    -0.65    -0.76    0.002    59.37
319   -6.068   -7.242    0.64   2   1    -0.64    -0.77    0.002    59.37
320   -5.977   -7.318    0.64   2   1    -0.63    -0.77    0.002    59.37
321   -5.884   -7.393    0.64   2   1    -0.62    -0.78    0.002    59.37
322   -5.791   -7.466    0.65   2   1    -0.61    -0.79    0.002    59.37
