# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
273   -7.232   -1.100    0.55   2   1    -0.85    -0.52    0.002    26.59
274   -7.203   -1.145    0.55   2   1    -0.84    -0.54    0.002    26.82
275   -7.174   -1.190    0.55   2   1    -0.83    -0.55    0.002    27.05
276   -7.144   -1.235    0.55   2   1    -0.82    -0.57    0.002    27.29
277   -7.112   -1.280    0.56   2   1    -0.81    -0.58    0.002    27.53
278   -7.079   -1.325    0.56   2   1    -0.80    -0.60    0.002    27.78
279   -7.045   -1.369    0.56   2   1    -0.79    -0.61    0.002    28.03
280   -7.010   -1.413    0.56   2   1    -0.78    -0.63    0.002    28.29
281   -6.974   -1.457    0.56   2   1    -0.77    -0.64    0.002    28.56
282   -6.937   -1.501    0.56   2   1    -0.76    -0.65    0.002    28.82
283   -6.899   -1.544    0.57   2   1    -0.74    -0.67    0.002    29.09
284   -6.860   -1.588    0.57   2   1    -0.73    -0.68    0.002    29.37
285   -6.819   -1.631    0.57   2   1    -0.72    -0.69    0.002    29.65
286   -6.778   -1.673    0.57   2   1    -0.71    -0.70    0.002    29.93
287   -6.735   -1.716    0.57   2   1    -0.70    -0.71    0.002    30.21
288   -6.691   -1.758    0.58   2   1    -0.69    -0.72    0.002    30.50
289   -6.647   -1.800    0.58   2   1    -0.68    -0.73    0.002    30.78
290   -6.601   -1.842    0.58   2   1    -0.67    -0.74    0.002    31.07
291   -6.554   -1.883    0.58   2   1    -0.66    -0.75    0.002    31.37
292   -6.506   -1.924    0.58   2   1    -0.65    -0.76    0.002    31.66
293   -6.457   -1.965    0.59   2   1    -0.63    -0.77    0.002    31.95
294   -6.408   -2.005    0.59   2   1    -0.62    -0.78    0.002    32.25
295   -6.357   -2.045    0.59   2   1    -0.61    -0.79    0.002    32.55
296   -6.305   -2.085    0.59   2   1    -0.60    -0.80    0.002    32.84
297   -6.252   -2.124    0.59   2   1    -0.59    -0.81    0.002    33.14
298   -6.198   -2.163    0.60   2   1    -0.58    -0.81    0.002    33.44
299   -6.143   -2.202    0.60   2   1    -0.57    -0.82    0.002    33.74
300   -6.087   -2.241    0.60   2   1    -0.56    -0.83    0.002    34.04
301   -6.030   -2.279    0.60   2   1    -0.55    -0.83    0.002    34.34
302   -5.973   -2.316    0.60   2   1    -0.54    -0.84    0.002    34.63
303   -5.914   -2.354    0.61   2   1    -0.53    -0.85    0.002    34.93
304   -5.854   -2.391    0.61   2   1    -0.52    -0.85    0.002    35.23
305   -5.794   -2.427    0.61   2   1    -0.51    -0.86    0.002    35.52
306   -5.732   -2.464    0.61   2   1    -0.50    -0.86    0.002    35.82
307   -5.670   -2.499    0.61   2   1    -0.49    -0.87    0.002    36.11
308   -5.607   -2.535    0.62   2   1    -0.48    -0.88    0.002    36.40
309   -5.543   -2.570    0.62   2   1    -0.47    -0.88    0.002    36.69
310   -5.478   -2.604    0.62   2   1    -0.47    -0.89    0.002    36.98
311   -5.412   -2.639    0.62   2   1    -0.46    -0.89    0.002    37.26
312   -5.345   -2.672    0.62   2   1    -0.45    -0.89    0.002    37.55
313   -5.277   -2.706    0.63   2   1    -0.44    -0.90    0.002    37.83
314   -5.209   -2.739    0.63   2   1    -0.43    -0.90    0.002    38.11
315   -5.140   -2.771    0.63   2   1    -0.42    -0.91    0.002    38.39
316   -5.070   -2.803    0.63   2   1    -0.41    -0.91    0.002    38.66
317   -4.999   -2.835    0.64   2   1    -0.40    -0.92    0.002    38.93
318   -4.927   -2.866    0.64   2   1    -0.39    -0.92    0.002    39.20
319   -4.855   -2.897    0.64   2   1    -0.39    -0.92    0.002    39.47
320   -4.782   -2.927    0.64   2   1    -0.38    -0.93    0.002    39.73
321   -4.708   -2.957    0.64   2   1    -0.37    -0.93    0.002    39.99
322   -4.633   -2.986    0.65   2   1    -0.36    -0.93    0.002    40.25
