# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
213   -8.472    5.438    0.43   2   1    -0.93     0.36    0.002    74.02
214   -8.524    5.300    0.43   2   1    -0.94     0.35    0.002    74.19
215   -8.574    5.160    0.43   2   1    -0.94     0.34    0.002    74.35
216   -8.624    5.020    0.43   2   1    -0.95     0.33    0.002    74.50
217   -8.672    4.878    0.43   2   1    -0.95     0.32    0.002    74.65
218   -8.718    4.736    0.44   2   1    -0.95     0.31    0.002    74.80
219   -8.763    4.593    0.44   2   1    -0.96     0.30    0.002    74.94
220   -8.807    4.450    0.44   2   1    -0.96     0.29    0.002    75.08
221   -8.849    4.306    0.44   2   1    -0.96     0.28    0.002    75.22
222   -8.890    4.161    0.45   2   1    -0.96     0.27    0.002    75.35
223   -8.930    4.015    0.45   2   1    -0.97     0.26    0.002    75.48
224   -8.968    3.869    0.45   2   1    -0.97     0.25    0.002    75.60
225   -9.004    3.722    0.45   2   1    -0.97     0.24    0.002    75.72
226   -9.040    3.575    0.45   2   1    -0.97     0.23    0.002    75.83
227   -9.073    3.427    0.46   2   1    -0.98     0.22    0.002    75.94
228   -9.106    3.278    0.46   2   1    -0.98     0.21    0.002    76.05
229   -9.137    3.129    0.46   2   1    -0.98     0.20    0.002    76.15
230   -9.166    2.980    0.46   2   1    -0.98     0.19    0.002    76.24
231   -9.194    2.830    0.46   2   1    -0.98     0.18    0.002    76.34
232   -9.221    2.680    0.47   2   1    -0.99     0.17    0.002    76.42
233   -9.246    2.529    0.47   2   1    -0.99     0.16    0.002    76.51
234   -9.270    2.377    0.47   2   1    -0.99     0.15    0.002    76.59
235   -9.292    2.226    0.47   2   1    -0.99     0.14    0.002    76.66
236   -9.313    2.074    0.47   2   1    -0.99     0.13    0.002    76.73
237   -9.332    1.922    0.47   2   1    -0.99     0.12    0.002    76.79
238   -9.350    1.769    0.48   2   1    -0.99     0.11    0.002    76.85
239   -9.366    1.616    0.48   2   1    -0.99     0.10    0.002    76.90
240   -9.381    1.463    0.48   2   1    -1.00     0.09    0.002    76.95
241   -9.395    1.310    0.48   2   1    -1.00     0.08    0.002    77.00
242   -9.407    1.156    0.48   2   1    -1.00     0.07    0.002    77.04
243   -9.417    1.002    0.49   2   1    -1.00     0.06    0.002    77.07
244   -9.426    0.848    0.49   2   1    -1.00     0.05    0.002    77.10
245   -9.434    0.694    0.49   2   1    -1.00     0.04    0.002    77.13
246   -9.439    0.540    0.49   2   1    -1.00     0.03    0.002    77.15
247   -9.444    0.386    0.49   2   1    -1.00     0.02    0.002    77.16
248   -9.447    0.232    0.50   2   1    -1.00     0.01    0.002    77.17
249   -9.448    0.077    0.50   2   1    -1.00     0.00    0.002    77.18
250   -9.448   -0.077    0.50   2   1    -1.00    -0.00    0.002    77.18
251   -9.447   -0.232    0.50   2   1    -1.00    -0.01    0.002    77.17
252   -9.444   -0.386    0.51   2   1    -1.00    -0.02    0.002    77.16
253   -9.439   -0.540    0.51   2   1    -1.00    -0.03    0.002    77.15
254   -9.434   -0.694    0.51   2   1    -1.00    -0.04    0.002    77.13
255   -9.426   -0.848    0.51   2   1    -1.00    -0.05    0.002    77.10
256   -9.417   -1.002    0.51   2   1    -1.00    -0.06    0.002    77.07
257   -9.407   -1.156    0.52   2   1    -1.00    -0.07    0.002    77.04
258   -9.395   -1.310    0.52   2   1    -1.00    -0.08    0.002    77.00
259   -9.381   -1.463    0.52   2   1    -1.00    -0.09    0.002    76.95
