# i       xs       ys     ths  m1  m2      nxs      nys     coef       ns
225 -126.586   -0.831    4.51   2   1    -1.00    -0.06    0.020    83.11
226 -126.377   -2.479    4.53   2   1    -0.98    -0.19    0.020    83.11
227 -125.964   -4.088    4.55   2   1    -0.95    -0.31    0.020    83.11
228 -125.353   -5.632    4.57   2   1    -0.90    -0.43    0.020    83.11
229 -124.552   -7.088    4.59   2   1    -0.84    -0.54    0.020    83.11
230 -123.576   -8.432    4.61   2   1    -0.77    -0.64    0.020    83.11
231 -122.439   -9.643    4.63   2   1    -0.68    -0.73    0.020    83.11
232 -121.159  -10.702    4.65   2   1    -0.59    -0.81    0.020    83.11
233 -119.756  -11.592    4.67   2   1    -0.48    -0.88    0.020    83.11
234 -118.253  -12.299    4.69   2   1    -0.37    -0.93    0.020    83.11
235 -116.673  -12.812    4.71   2   1    -0.25    -0.97    0.020    83.11
236 -115.041  -13.124    4.73   2   1    -0.13    -0.99    0.020    83.11
237 -113.384  -13.228    4.75   2   1    -0.00    -1.00    0.020    83.11
238 -111.726  -13.124    4.77   2   1     0.13    -0.99    0.020    83.11
239 -110.094  -12.812    4.79   2   1     0.25    -0.97    0.020    83.11
240 -108.514  -12.299    4.81   2   1     0.37    -0.93    0.020    83.11
241 -107.011  -11.592    4.83   2   1     0.48    -0.88    0.020    83.11
242 -105.608  -10.702    4.85   2   1     0.59    -0.81    0.020    83.11
243 -104.328   -9.643    4.87   2   1     0.68    -0.73    0.020    83.11
244 -103.191   -8.432    4.89   2   1     0.77    -0.64    0.020    83.11
245 -102.215   -7.088    4.91   2   1     0.84    -0.54    0.020    83.11
246 -101.414   -5.632    4.93   2   1     0.90    -0.43    0.020    83.11
247 -100.803   -4.088    4.95   2   1     0.95    -0.31    0.020    83.11
248 -100.390   -2.479    4.97   2   1     0.98    -0.19    0.020    83.11
249 -100.182   -0.831    4.99   2   1     1.00    -0.06    0.020    83.11
250  -71.836   49.927    5.01   2   1     1.00     0.06    0.020    83.11
251  -72.044   51.575    5.03   2   1     0.98     0.19    0.020    83.11
252  -72.457   53.184    5.05   2   1     0.95     0.31    0.020    83.11
253  -73.069   54.729    5.07   2   1     0.90     0.43    0.020    83.11
254  -73.869   56.184    5.09   2   1     0.84     0.54    0.020    83.11
255  -74.845   57.528    5.11   2   1     0.77     0.64    0.020    83.11
256  -75.982   58.739    5.13   2   1     0.68     0.73    0.020    83.11
257  -77.262   59.798    5.15   2   1     0.59     0.81    0.020    83.11
258  -78.665   60.688    5.17   2   1     0.48     0.88    0.020    83.11
259  -80.168   61.396    5.19   2   1     0.37     0.93    0.020    83.11
260  -81.748   61.909    5.21   2   1     0.25     0.97    0.020    83.11
261  -83.380   62.220    5.23   2   1     0.13     0.99    0.020    83.11
262  -85.038   62.325    5.25   2   1     0.00     1.00    0.020    83.11
263  -86.696   62.220    5.27   2   1    -0.13     0.99    0.020    83.11
264  -88.327   61.909    5.29   2   1    -0.25     0.97    0.020    83.11
265  -89.907   61.396    5.31   2   1    -0.37     0.93    0.020    83.11
266  -91.410   60.688    5.33   2   1    -0.48     0.88    0.020    83.11
267  -92.813   59.798    5.35   2   1    -0.59     0.81    0.020    83.11
268  -94.093   58.739    5.37   2   1    -0.68     0.73    0.020    83.11
269  -95.230   57.528    5.39   2   1    -0.77     0.64    0.020    83.11
270  -96.207   56.184    5.41   2   1    -0.84     0.54    0.020    83.11
271  -97.007   54.729    5.43   2   1    -0.90     0.43    0.020    83.11
272  -97.618   53.184    5.45   2   1    -0.95     0.31    0.020    83.11
273  -98.031   51.575    5.47   2   1    -0.98     0.19    0.020    83.11
274  -98.240   49.927    5.49   2   1    -1.00     0.06    0.020    83.11
275  -98.240   48.266    5.51   2   1    -1.00    -0.06    0.020    83.11
276  -98.031   46.618    5.53   2   1    -0.98    -0.19    0.020    83.11
